anuncio_data;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
20/02/2025;Bosch;Campinas;RA Campinas;Instalação Centro de Competência Global Bosch de pesquisa, desenvolvimento e manufatura de tecnologias para o agronegócio, com foco em inovação, digitalização e modernização da linha de produção entre 2025 e 2027;Serviços;Pesquisa e desenvolvimento científico
19/02/2025;Hospital Alvorada;São Paulo;RM São Paulo;Inauguração Centro cirúrgico numa área de 400 metros quadrados, a unidade terá 14 salas cirúrgicas;Serviços;Atividades de atenção à saúde humana
19/02/2025;Partage Santana Shopping;São Paulo;RM São Paulo;Modernização Shopping Center  como um boulevard gastronômico e uma área para carros de aplicativos de transportes pegarem passageiros. E a instalação de um teatro.na Rua Conselheiro Moreira de Barros;Serviços;Atividades imobiliárias
16/02/2025;Hospital Unimed Bauru - HUB;Bauru;RA Bauru;Aquisição equipamento  para seu centro cirúrgico: o Sistema de Visualização Robótica Tivato 700, tecnologia irá agregar mais precisão, segurança e eficiência aos procedimentos de alta complexidade;Serviços;Atividades de atenção à saúde humana
13/02/2025;Unimed Franca;Franca;RA Franca;Inauguração postos de coleta de atendimento e coleta de exames laboratoriais na unidade do shopping localizado na avenida Rio Amazonas;Serviços;Atividades de atenção à saúde humana
07/02/2025;Hospital Vila Nova Star;São Paulo;RM São Paulo;inaugura setor pediátrico com suítes privadas inclusive pronto socorro, o serviço funcionará na primeira torre do hospital, na Vila Nova Conceição, zona sul de São Paulo, com investimento de 1,5 bilhões;Serviços;Atividades de atenção à saúde humana
05/02/2025;Arco Educação ;São Paulo;RM São Paulo;Investirá centro de treinamento e desenvolvimento empresa de sistemas de ensino e serviços educacionais, investimento será destinado à tecnologia, em especial a projetos ligados à inteligência artificial, desenvolvimento de novos produtos e plataformas educacionais;Serviços;Educação
23/01/2025;Teatro-D-Jaraguá;São Paulo;RM São Paulo;Inauguração teatro instalado dentro do Hotel Nacional Inn Jaraguá R. Martins Fontes;Serviços;Atividades artísticas, criativas e de espetáculos
21/01/2025;Estação CCR das Artes;São Paulo;RM São Paulo;Inauguração sala de espetáculos contigua à Sala São Paulo no Complexo Cultural Júlio Prestes;Serviços;Atividades artísticas, criativas e de espetáculos
20/01/2025;Vila Destro;Campinas;RA Campinas;Instalação Shopping Center com lojas, serviços e restaurantes;Serviços;Atividades imobiliárias
16/01/2025;Easyjet Mobilidade;São Paulo;RM São Paulo;Instalação empresa de serviço de compartilhamento e aluguel de  patinetes elétricos;Serviços;Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros
15/01/2025;Aurea Finvest;Sumaré;RA Campinas;Instalação complexo com 500 mil metros quadrados e fica próxima à subestação da CPFL e da Rodovia dos Bandeirantes (SP-348);Serviços;Atividades de prestação de serviços de informação
13/01/2025;Santa Casa de Andradina;Angatuba;RA Itapeva;Ampliação capacidade  da hemodiálise e aquisição de equipamentos, máquinas de hemodiálise;Serviços;Atividades de atenção à saúde humana
