codigo;data_publicacao;titulo;palavra;fonte;url;palavras;meio;data_investimento
2530515;25/04/2025 00:00;Após vender shoppings, Brookfield mira residenciais e galpões;ampliar, compra, comprar, empreendimento, investe;Pipeline Valor Online;https://pipelinevalor.globo.com/negocios/noticia/apos-vender-shoppings-brookfield-mira-residenciais-e-galpoes.ghtml;ampliar, compra, comprar, empreendimento, investe;Portais;12/05/2025 11:12
2531745;28/04/2025 00:00;MorumbiShopping prepara expansão para receber 40 novas lojas;ampliar, empreendimento, expansão;Folha de S. Paulo;https://www1.folha.uol.com.br/o-melhor-de-sao-paulo/2025/04/morumbishopping-prepara-expansao-para-receber-40-novas-lojas.shtml;ampliar, empreendimento, expansão;Portais;12/05/2025 11:39
2530881;26/04/2025 11:04;Beneficência inaugura setor de Ressonância Magnética;ampliação;O Vale;https://sampi.net.br/ovale/noticias/2899461/gente_negocios__propaganda/2025/04/beneficencia-inaugura-setor-de-ressonancia-magnetica;ampliação, aquisição, expansão, inaugura, inauguração, inaugurou, inovação, investimentos;Portais;12/05/2025 11:42
2530606;25/04/2025 00:00;Leroy Merlin inaugura nova loja em Bauru neste sábado;abre, construção, inaugura, inauguração;O Vale;https://sampi.net.br/ovale/noticias/2899292/checkin/2025/04/leroy-merlin-inaugura-nova-loja-em-bauru-neste-sabado;abre, construção, inaugura, inauguração;Portais;12/05/2025 11:42
2530587;25/04/2025 00:00;Café marca inauguração da Academia do Cérebro em Araçatuba;abertura, inaugura, inauguração;O Vale;https://sampi.net.br/ovale/noticias/2899193/aracatuba/2025/04/cafe-marca-inauguracao-da-academia-do-cerebro-em-aracatuba;abertura, inaugura, inauguração;Portais;12/05/2025 14:23
2531692;28/04/2025 00:00;500 vagas de emprego: Tauste faz mutirão em Taubaté;empreendimento;O Vale;https://sampi.net.br/ovale/noticias/2899796/cidades/2025/04/500-vagas-de-emprego-tauste-faz-mutirao-em-taubate;empreendimento;Portais;12/05/2025 14:27
2529703;23/04/2025 00:00;Beneficência Portuguesa inaugura ressonância com uso de IA;aquisição, inaugurou, inovação, investimento;O Vale;https://sampi.net.br/ovale/noticias/2898819/bauru-e-regiao/2025/04/beneficencia-portuguesa-inaugura-ressonancia-com-uso-de-ia;aquisição, inaugurou, inovação, investimento;Portais;12/05/2025 14:45
2524065;08/04/2025 00:00;Supermercado abre loja em São José com 230 empregos diretos;inaugura;O Vale;https://sampi.net.br/ovale/noticias/2895736/vale-do-paraiba/2025/04/supermercado-abre-loja-em-sao-jose-com-230-empregos-diretos;inaugura;Portais;13/05/2025 16:04
2542651;14/05/2025 14:05;Smurfit WestRock aprova investimentos de US$ 150 milhões na operação brasileira;investir;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/05/14/smurfit-westrock-aprova-investimentos-de-us-150-milhes-na-operao-brasileira.ghtml;investir;Portais;15/05/2025 09:00
2539419;09/05/2025 00:00;Soneda abre primeira loja em Bauru no Boulevard Shopping;inaugurou;O Vale;https://sampi.net.br/ovale/noticias/2902070/checkin/2025/05/soneda-abre-primeira-loja-em-bauru-no-boulevard-shopping;inaugurou;Portais;15/05/2025 09:12
